Date,Price
01/08/2008,1826.560059
04/08/2008,1804.839966
05/08/2008,1869.76001
06/08/2008,1895.209961
07/08/2008,1880.089966
08/08/2008,1926.22998
11/08/2008,1941.22998
12/08/2008,1941.069946
13/08/2008,1942.02002
14/08/2008,1964.380005
15/08/2008,1957.560059
18/08/2008,1932.699951
19/08/2008,1908.680054
20/08/2008,1913.02002
21/08/2008,1906.73999
22/08/2008,1931.469971
25/08/2008,1889.719971
26/08/2008,1886.319946
27/08/2008,1900.300049
28/08/2008,1915.119995
29/08/2008,1872.540039
02/09/2008,1850.140015
03/09/2008,1833.089966
04/09/2008,1774.780029
05/09/2008,1768.22998
08/09/2008,1762.949951
09/09/2008,1721.550049
10/09/2008,1738.069946
11/09/2008,1773.650024
12/09/2008,1767.130005
15/09/2008,1705.459961
16/09/2008,1724.079956
17/09/2008,1632.449951
18/09/2008,1697.420044
19/09/2008,1745.060059
22/09/2008,1665.939941
23/09/2008,1648.400024
24/09/2008,1661.329956
25/09/2008,1687.550049
26/09/2008,1672.040039
29/09/2008,1496.150024
30/09/2008,1594.630005
01/10/2008,1563.800049
02/10/2008,1491.109985
03/10/2008,1470.839966
06/10/2008,1411.280029
07/10/2008,1329.97998
08/10/2008,1330.609985
09/10/2008,1275.099976
10/10/2008,1269.800049
13/10/2008,1429.540039
14/10/2008,1364.589966
15/10/2008,1244.22998
16/10/2008,1312.969971
17/10/2008,1311.719971
20/10/2008,1352.76001
21/10/2008,1283.430054
22/10/2008,1237.089966
23/10/2008,1239.160034
24/10/2008,1202.27002
27/10/2008,1169.780029
28/10/2008,1297.569946
29/10/2008,1302.119995
30/10/2008,1333.939941
31/10/2008,1334.780029
03/11/2008,1334.75
04/11/2008,1378.400024
05/11/2008,1299.97998
06/11/2008,1241.969971
07/11/2008,1271.619995
10/11/2008,1251
11/11/2008,1225.589966
12/11/2008,1165.380005
13/11/2008,1240.930054
14/11/2008,1179.630005
17/11/2008,1151.959961
18/11/2008,1155.75
19/11/2008,1087.599976
20/11/2008,1036.51001
21/11/2008,1085.569946
24/11/2008,1154.339966
25/11/2008,1142.579956
26/11/2008,1193.089966
28/11/2008,1185.75
01/12/2008,1091.160034
02/12/2008,1130
03/12/2008,1166.199951
04/12/2008,1127.75
05/12/2008,1177.869995
08/12/2008,1225.060059
09/12/2008,1212.449951
10/12/2008,1222.380005
11/12/2008,1180.459961
12/12/2008,1206.650024
15/12/2008,1181.869995
16/12/2008,1243.48999
17/12/2008,1225.859985
18/12/2008,1204.689941
19/12/2008,1217.189941
22/12/2008,1189.150024
23/12/2008,1183.189941
24/12/2008,1184.300049
26/12/2008,1185.439941
29/12/2008,1173.150024
30/12/2008,1201.339966
31/12/2008,1211.650024
02/01/2009,1263.699951
05/01/2009,1262.52002
06/01/2009,1274.48999
07/01/2009,1238.599976
08/01/2009,1252.52002
09/01/2009,1223.01001
12/01/2009,1201.130005
13/01/2009,1202.650024
14/01/2009,1163.420044
15/01/2009,1183.52002
16/01/2009,1198.140015
20/01/2009,1136.609985
21/01/2009,1185.76001
22/01/2009,1168.079956
23/01/2009,1175.890015
26/01/2009,1184.560059
27/01/2009,1194.410034
28/01/2009,1235.910034
29/01/2009,1203.849976
30/01/2009,1180.25
02/02/2009,1195.75
03/02/2009,1215.660034
04/02/2009,1215.430054
05/02/2009,1245.109985
06/02/2009,1277.48999
09/02/2009,1281.650024
10/02/2009,1229.290039
11/02/2009,1227.050049
